ts,x,y,heading
1652170322636205.0,2004.8528826808515,1619.9464882849481,2.0650428052234253
1652170322736213.0,2004.7705654456654,1620.1093341592114,2.068147873827824
1652170322836222.0,2004.6843964639515,1620.2814300351379,2.0716892012777715
1652170322936231.0,2004.5918019452808,1620.4616781524032,2.074659921418825
1652170323036292.0,2004.4936098975288,1620.650518723407,2.0777643633946083
1652170323136302.0,2004.3905918049238,1620.8483165712394,2.0816873352649727
1652170323236368.0,2004.2817212864504,1621.0540651806862,2.085599356872596
1652170323336378.0,2004.1675668526614,1621.2679040519797,2.088908465893449
1652170323436440.0,2004.0479471801668,1621.4898706132155,2.092100716434613
1652170323536510.0,2003.9240168069557,1621.720047214041,2.0954243690707477
1652170323636628.0,2003.7946109118961,1621.9580295598344,2.0977022518208295
1652170323736691.0,2003.6597347838833,1622.203448661502,2.099371337106197
1652170323836814.0,2003.5211067003781,1622.456927887357,2.101649753191649
1652170323936934.0,2003.3771347834634,1622.7174650635322,2.1034506890724467
1652170324037048.0,2003.2281571818212,1622.9850560074574,2.1044104433736983
1652170324137116.0,2003.0756837713047,1623.2599529477375,2.1056039261483788
1652170324237178.0,2002.9190145903517,1623.5417685739967,2.1069780564369816
1652170324337241.0,2002.7568014407855,1623.8300624425517,2.108009901079563
1652170324437252.0,2002.5901377983234,1624.125449351258,2.108923022023906
1652170324537261.0,2002.4194015314345,1624.427869997612,2.1099346871666667
1652170324637270.0,2002.2446618654212,1624.7373674801047,2.1106838606354303
1652170324737279.0,2002.0656990000523,1625.0538531281857,2.111243135622715
1652170324837233.0,2001.8831801020617,1625.3771835154125,2.112093882606731
1652170324937185.0,2001.6968199973262,1625.7073922065385,2.1129921841402193
1652170325037136.0,2001.5054023238056,1626.0432829883086,2.113691625784763
1652170325137092.0,2001.310551801375,1626.3853946562942,2.1140580257893187
1652170325237048.0,2001.1113428909516,1626.7333841006377,2.113656942928538
1652170325336950.0,2000.9094443576594,1627.0879915002122,2.113174408873733
1652170325436898.0,2000.7041963279974,1627.449122129877,2.112479563524637
1652170325536799.0,2000.495997926883,1627.8164091223289,2.111259479862223
1652170325636695.0,2000.2845386077588,1628.189748725878,2.109122097074543
1652170325736590.0,2000.0701413285622,1628.5693757760973,2.1067960362067804
1652170325836547.0,1999.8533716623556,1628.9555738019862,2.103777268827079
1652170325936505.0,1999.6338944057084,1629.3472682865956,2.0990214428613427
1652170326036459.0,1999.4134965838684,1629.745456218644,2.0925269505039243
1652170326136470.0,1999.1945786859383,1630.1525492946016,2.085623431240457
1652170326236534.0,1998.9762113572624,1630.5670039888305,2.077722670056284
1652170326336596.0,1998.7558439649877,1630.987118738194,2.068165009700849
1652170326436659.0,1998.5359284331712,1631.4134272865983,2.058027837292909
1652170326536726.0,1998.3194611819515,1631.8476735177378,2.0479961239759628
1652170326636845.0,1998.1064840884326,1632.288539748641,2.0372150547594425
1652170326736964.0,1997.8959332729205,1632.7355143955522,2.0252008758504245
