ts,longitudinal speed
1652170322636205.0,1.600898238571367
1652170322736213.0,1.7288345465502999
1652170322836222.0,1.837044828265678
1652170322936231.0,1.9225383585822193
1652170323036292.0,2.0311424760946286
1652170323136302.0,2.1366893180837954
1652170323236368.0,2.242752212299345
1652170323336378.0,2.3448696352323877
1652170323436440.0,2.4306294081009354
1652170323536510.0,2.5244197543092888
1652170323636628.0,2.6126127048609487
1652170323736691.0,2.7059636049161067
1652170323836814.0,2.8007595528588403
1652170323936934.0,2.8899542310505955
1652170324037048.0,2.9698561726148824
1652170324137116.0,3.050474856768771
1652170324237178.0,3.1393816079936823
1652170324337241.0,3.226755471763162
1652170324437252.0,3.311480839091528
1652170324537261.0,3.38783478681835
1652170324637270.0,3.4657355822118356
1652170324737279.0,3.5424276586035868
1652170324837233.0,3.6296022569663826
1652170324937185.0,3.7040392837170217
1652170325037136.0,3.7763228162887748
1652170325137092.0,3.8522714207329347
1652170325237048.0,3.9318101093965163
1652170325336950.0,3.9982719684877903
1652170325436898.0,4.076115014278231
1652170325536799.0,4.13806068475856
1652170325636695.0,4.205451962986028
1652170325736590.0,4.27293704932946
1652170325836547.0,4.32668626217974
1652170325936505.0,4.398675564782247
1652170326036459.0,4.468112318545268
1652170326136470.0,4.53201810428848
1652170326236534.0,4.587584895673006
1652170326336596.0,4.657118727711959
1652170326436659.0,4.7166666984558105
1652170326536726.0,4.755546158859237
1652170326636845.0,4.792784338994144
1652170326736964.0,4.854887311293575
1652170326837085.0,4.900342971400839
1652170326937151.0,4.92920194227848
1652170327037211.0,4.968147035677163
1652170327137276.0,5.021033596733342
1652170327237339.0,5.034421858774008
1652170327337350.0,5.047172551917885
1652170327437358.0,5.082194931818516
1652170327537371.0,5.12333799604572
1652170327637328.0,5.145549134503616
1652170327737283.0,5.173312927471614
1652170327837181.0,5.1982737817016895
1652170327937081.0,5.226037047318985
1652170328036980.0,5.249257597271857
1652170328136821.0,5.274161918192011
1652170328236607.0,5.314801073919708
1652170328336451.0,5.344444274902344
1652170328436180.0,5.367111161200837
1652170328535971.0,5.39945744824235
1652170328635755.0,5.427606430644549
1652170328735543.0,5.4385681358362135
1652170328835332.0,5.474440920260016
1652170328935116.0,5.490418135963684
1652170329034960.0,5.516171813117701
1652170329134865.0,5.542518557601825
1652170329234764.0,5.55555534362793
1652170329334717.0,5.534939916083559
1652170329434671.0,5.538495159542379
1652170329534622.0,5.507143747696448
1652170329634740.0,5.482537808898143
1652170329734803.0,5.4824771825952885
1652170329834923.0,5.491213568629196
1652170329935100.0,5.453768356467423
1652170330035330.0,5.407766735742011
1652170330135509.0,5.382078822118346
1652170330235741.0,5.358333110809326
1652170330335972.0,5.329388181533777
1652170330436257.0,5.303836954457688
1652170330536485.0,5.284288946452742
1652170330636769.0,5.245191669649535
1652170330737000.0,5.21912502844877
1652170330837288.0,5.178263174273355
1652170330937520.0,5.148815412129906
1652170331037804.0,5.1265018917516985
1652170331138041.0,5.094601292263023
1652170331238328.0,5.041492390157559
1652170331338618.0,5.0113822401069
1652170331438904.0,5.001997986646067
1652170331539193.0,4.927134398823664
1652170331639368.0,4.892072198304426
1652170331739544.0,4.859339576392881
1652170331839718.0,4.833333492279053
1652170331939784.0,4.764876883474223
1652170332039790.0,4.75
1652170332139799.0,4.7028173997466265
1652170332239753.0,4.68055534362793
1652170332339652.0,4.675000190734863
1652170332439439.0,4.655555725097656
1652170332539227.0,4.652777671813965
1652170332638957.0,4.64722204208374
1652170332738636.0,4.634863759469085
1652170332838313.0,4.627777576446533
1652170332937936.0,4.605555534362793
1652170333037498.0,4.612316190348755
1652170333137008.0,4.608333110809326
1652170333236462.0,4.6074212558773135
1652170333335972.0,4.629299448891869
1652170333435426.0,4.653392842463535
1652170333534881.0,4.708404092845058
1652170333634336.0,4.718525050167474
1652170333733792.0,4.725173690504383
1652170333833304.0,4.727828100599478
1652170333932870.0,4.75
1652170334032434.0,4.769444465637207
1652170334132111.0,4.775000095367432
1652170334231898.0,4.797222137451172
1652170334331689.0,4.813889026641846
1652170334431639.0,4.824999809265137
1652170334531594.0,4.830555438995361
1652170334631661.0,4.858333110809326
1652170334731838.0,4.891666889190674
1652170334832074.0,4.93055534362793
1652170334932361.0,4.961111068725586
1652170335032757.0,5.011111259460449
1652170335133160.0,5.0639048970289915
1652170335233724.0,5.105730707500251
1652170335334290.0,5.159486808745225
1652170335434911.0,5.216386285495004
1652170335535531.0,5.278438588701771
1652170335636210.0,5.322921397789447
1652170335736884.0,5.377050525997946
1652170335837559.0,5.42992267871901
1652170335938179.0,5.491920553453603
1652170336038745.0,5.52222204208374
1652170336139251.0,5.562380518031085
1652170336239649.0,5.610250780137715
1652170336339990.0,5.643153325494636
1652170336440221.0,5.675000190734863
1652170336540338.0,5.6784926775237015
1652170336640348.0,5.666666507720947
1652170336740304.0,5.656991905257141
1652170336840201.0,5.631406297088651
1652170336940049.0,5.5947387492469
1652170337039780.0,5.5442889377377425
1652170337139456.0,5.495389404131106
1652170337239130.0,5.451305187039142
1652170337338752.0,5.375076651276215
1652170337438372.0,5.328811385383496
1652170337538045.0,5.283293374471532
1652170337637612.0,5.246101153059638
1652170337737229.0,5.207146862585482
1652170337836904.0,5.178390976000982
1652170337936578.0,5.148700437924235
1652170338036255.0,5.136811413768997
1652170338135988.0,5.104658119572186
1652170338235719.0,5.092067068608467
1652170338335561.0,5.073466987975529
1652170338435409.0,5.044274719232225
1652170338535306.0,5.029863535148006
1652170338635201.0,5.050000190734863
1652170338735156.0,5.07143515403205
1652170338835170.0,5.074999809265137
1652170338935118.0,5.076943322638777
1652170339035127.0,5.086735436184197
1652170339135134.0,5.076307689626879
1652170339235200.0,5.071567877573438
1652170339335259.0,5.061110973358154
1652170339435325.0,5.061110973358154
1652170339535444.0,5.072952016806678
1652170339635565.0,5.089681576526384
1652170339735683.0,5.113082639398863
1652170339835861.0,5.1480919110362295
1652170339936033.0,5.177796588129602
1652170340036154.0,5.209308800686869
1652170340136275.0,5.2325453022846675
1652170340236451.0,5.25857708333429
1652170340336572.0,5.282704597739515
1652170340436635.0,5.316067287420636
1652170340536758.0,5.347805041784357
1652170340636822.0,5.3733588336346845
1652170340736941.0,5.403536152313496
1652170340837007.0,5.442503596500507
1652170340937069.0,5.480245960137012
1652170341037077.0,5.509571771140956
1652170341137087.0,5.529016122977611
1652170341237100.0,5.560815490819852
1652170341337053.0,5.591332591414665
1652170341437002.0,5.61510647145184
1652170341536955.0,5.636111259460449
1652170341636910.0,5.659518338493179
1652170341736811.0,5.651177230524045
1652170341836704.0,5.632808177159118
1652170341936607.0,5.628354528963597
1652170342036505.0,5.605047525349866
1652170342136407.0,5.572619401292676
1652170342236307.0,5.542004230329866
1652170342336200.0,5.53431688082153
1652170342436151.0,5.512112486951977
1652170342536106.0,5.504773355051209
1652170342636059.0,5.500807892337557
1652170342736065.0,5.5075275606570635
1652170342836015.0,5.508379535008079
1652170342936027.0,5.528830158340827
1652170343036090.0,5.526805428833147
1652170343136099.0,5.532525489435808
1652170343236164.0,5.546661716645099
1652170343336222.0,5.553074852126725
1652170343436230.0,5.56242201507603
1652170343536296.0,5.578831315432597
1652170343636416.0,5.589972518768399
1652170343736480.0,5.60277795791626
1652170343836543.0,5.587590545492111
1652170343936605.0,5.582412521766893
1652170344036726.0,5.577379746336416
1652170344136786.0,5.553177369024358
1652170344236907.0,5.530555725097656
1652170344337027.0,5.5224510270786515
1652170344437096.0,5.469947984761382
1652170344537220.0,5.429371026712899
1652170344637284.0,5.398675012338974
1652170344737350.0,5.359765762348633
1652170344837413.0,5.316659934612371
1652170344937425.0,5.288905111362489
1652170345037437.0,5.2583472302770495
1652170345137444.0,5.2236364108741355
1652170345237451.0,5.188814829534937
1652170345337405.0,5.1569582650851835
1652170345437359.0,5.118063690764576
1652170345537309.0,5.066723594367025
1652170345637264.0,5.025064182955696
1652170345737160.0,4.998767911282433
1652170345837108.0,4.96431507900001
1652170345937008.0,4.923955464408944
1652170346036903.0,4.887649906606535
1652170346136749.0,4.85036206989633
1652170346236651.0,4.8032071635149265
1652170346336605.0,4.764301810098346
1652170346436506.0,4.7365795440374665
1652170346536464.0,4.700535372592454
1652170346636362.0,4.657812018039198
1652170346736317.0,4.629999633343212
1652170346836271.0,4.600571334258163
1652170346936229.0,4.571802523027217
1652170347036188.0,4.530770694801754
1652170347136139.0,4.479120230400782
1652170347236146.0,4.434294462562756
1652170347336156.0,4.368563235820044
1652170347436162.0,4.297141677796289
1652170347536174.0,4.206441332827998
1652170347636240.0,4.120183497378393
1652170347736306.0,4.050047108053546
1652170347836371.0,3.959784174523332
1652170347936438.0,3.858172002676776
1652170348036558.0,3.7755874948260626
1652170348136624.0,3.682929145947865
1652170348236742.0,3.590987550556359
1652170348336868.0,3.5022381025959146
1652170348436985.0,3.4128381784697
1652170348537105.0,3.3224397555904694
1652170348637174.0,3.225295620989087
1652170348737290.0,3.1179794913902796
1652170348837298.0,3.020720873538541
1652170348937365.0,2.9164082805637017
1652170349037378.0,2.8122586888932397
1652170349137385.0,2.7136077657614472
1652170349237394.0,2.6192057080202655
1652170349337346.0,2.5249090208956915
1652170349437298.0,2.4275634497170566
1652170349537255.0,2.3431152474192882
1652170349637208.0,2.2499330912253295
1652170349737163.0,2.158319703003305
1652170349837117.0,2.066903256347327
1652170349937016.0,1.9739528533705726
1652170350036913.0,1.8796759783698997
1652170350136812.0,1.7868657189503103
1652170350236709.0,1.6992792883029941
1652170350336611.0,1.6423447679075127
1652170350436452.0,1.588076974285147
1652170350536353.0,1.5627396228627182
1652170350636251.0,1.5393595065291854
1652170350736093.0,1.5272513420793117
1652170350835996.0,1.5128120789684778
1652170350935892.0,1.4972221851348877
1652170351035790.0,1.4934229906509457
1652170351135633.0,1.492477824869872
1652170351235529.0,1.479629807540231
1652170351335370.0,1.4833333492279053
1652170351435272.0,1.4888888597488403
1652170351535170.0,1.5027778148651123
1652170351635124.0,1.5274429100790519
1652170351735028.0,1.5690604270660684
1652170351834979.0,1.6134998049199518
1652170351934877.0,1.6640520747480676
