ts,x,y,heading
1652170322636205.0,2004.823291911228,1619.8092869053262,2.076206867483083
1652170323036292.0,2004.4645503907245,1620.826866336011,2.073616874744693
1652170324037048.0,2003.2755600805258,1623.028795435408,2.093071103131804
1652170325037136.0,2001.5569111696184,1626.2285200074907,2.117936698269102
1652170326036459.0,1999.5633154846578,1629.7893439744462,2.0901633030755304
1652170327037211.0,1997.0733674501118,1634.5386538067025,1.9819254803928974
1652170328036980.0,1995.910070762101,1639.2655210974349,1.8675436421764666
1652170329034960.0,1994.4744391079723,1644.444818925207,1.837433134854463
1652170330035330.0,1992.824213310846,1649.5287065020161,1.8468325849921932
1652170331037804.0,1991.2365078285995,1655.4071841433915,1.873517048057364
1652170332039790.0,1990.7340584028664,1659.864549078708,1.7035350917463516
1652170333037498.0,1990.030810909699,1664.0989524275874,1.4285675662285835
1652170334032434.0,1991.4546816782129,1669.2014860834872,1.2690465540768223
1652170335032757.0,1993.195367348312,1673.7381260316076,1.26876993738136
1652170336038745.0,1994.7404087962525,1678.684459151414,1.2370112247539655
1652170337039780.0,1996.749129501446,1684.1215823474502,1.232036021056757
1652170338036255.0,1998.8857570123887,1689.3033349482894,1.1278935584830336
1652170339035127.0,2001.7771561249685,1693.3387260919044,0.9541822250556912
1652170340036154.0,2005.3753545195075,1696.848282662001,0.8247939032104022
1652170341037077.0,2008.51212013622,1700.5927924149212,0.7801382426572707
1652170342036505.0,2012.8680261517095,1704.8429069621423,0.7770481535634584
1652170343036090.0,2017.2392745075126,1708.4055540741288,0.7960497019597572
1652170344036726.0,2021.5212778293933,1712.2304255228523,0.7848533044792594
1652170345037437.0,2025.2934768504922,1715.9414166971294,0.7833433228929215
1652170346036903.0,2029.3181961640328,1719.520774170576,0.7911854738889444
1652170347036188.0,2032.4564873792642,1722.9193421840332,0.7948989791167589
1652170348036558.0,2035.3593601676084,1725.6080327656543,0.7865807745814638
1652170349037378.0,2037.6386204541225,1727.8499371423227,0.7918270162752508
1652170350036913.0,2039.4421773396841,1729.0947282701143,0.7943936817696781
1652170351035790.0,2040.5424054238617,1730.3591489813248,0.8039946398918754
1652170352034777.0,2041.5570822216157,1731.586460093059,0.9677575867729152
1652170353035250.0,2042.2553907602119,1733.116823627601,1.2854305404895248
1652170354037956.0,2042.9108763855586,1735.8530723458232,1.6484305565798836
1652170355038987.0,2041.9841289262386,1739.747776749602,1.9052962494137462
1652170356036628.0,2040.2879514520573,1744.1851207988232,2.0853503838781218
1652170357035887.0,2038.1024592763843,1748.9367010177739,2.13850828254369
1652170358036866.0,2034.9606011830956,1753.7816342896647,2.165203363353819
1652170359037503.0,2031.8989123228248,1757.8676260162745,2.1970501650349212
1652170360037045.0,2029.7227550023374,1761.0748247738218,2.2186904720718292
1652170361036090.0,2029.0015559007402,1762.2657920694612,2.2055254497053975
1652170362036136.0,2028.6463013044677,1762.4820542052528,2.2086369461691464
1652170363036948.0,2028.9673522610892,1762.5761605143834,2.215893610527726
1652170364037370.0,2028.886681838969,1762.0592960386473,2.220570598326686
1652170365036580.0,2028.746306140814,1762.4646813701197,2.1984558485666343
1652170366036461.0,2029.0343803063506,1762.2092622499376,2.2069528750592307
1652170367037066.0,2028.7886574690297,1762.3438909847398,2.204059054733853
1652170368036830.0,2029.148409286238,1762.7236328684396,2.22129148492505
1652170369036151.0,2028.2675814372399,1762.7399106491866,2.214642834758005
1652170370036131.0,2027.4535921233412,1764.448231533315,2.2758724739862677
1652170371037228.0,2025.7876920446643,1766.5077157781748,2.303451252577865
1652170372037769.0,2022.9990969351365,1768.8923761242613,2.280317047135928
1652170373037248.0,2020.5802322291388,1772.5285612924897,2.2632047127552966
1652170374036008.0,2017.4145300176522,1776.6347787074221,2.2390120833671983
1652170375036386.0,2014.5179649650122,1780.843896910505,2.2167659334536562
1652170376037363.0,2010.4906620472282,1785.5945038159102,2.207753037906499
1652170377036735.0,2007.3702362373522,1790.3546388247953,2.193580876874134
1652170378036220.0,2003.9751698660655,1795.5120276214934,2.1891917947922432
1652170379036768.0,2000.1266717986111,1800.8782322037252,2.175079473464941
1652170380037528.0,1997.0182127085552,1805.9491583022343,2.1433905893652914
1652170381037009.0,1994.0251271964742,1810.9506903768843,2.1272361937202433
1652170382036263.0,1991.0753403025521,1815.9252007599086,2.0518971369087033
1652170383035742.0,1988.8324594541873,1821.3223060737346,2.0436200277085215
1652170384036662.0,1986.114748013501,1826.933690652077,2.0657504676406306
1652170385037756.0,1983.2972984466278,1832.5304793284427,2.0615000925069373
1652170386037179.0,1980.4193757567346,1838.155755155725,2.0911548177065167
1652170387035986.0,1977.4174485078286,1843.67945358508,2.07844969101317
1652170388036243.0,1974.9289607045334,1848.0848494739992,2.074105135690753
1652170389037285.0,1972.6573170632148,1852.0202989885531,2.0876689158791804
1652170390036322.0,1970.1936512979453,1855.6713220526158,2.1374178704764475
