ts,angular velocity
1652170322636205.0,0.026487434691719346
1652170322736213.0,0.03337606894795741
1652170322836222.0,0.03406026515763872
1652170322936231.0,0.02821462787886085
1652170323036292.0,0.03363317606050124
1652170323136302.0,0.04075749308525405
1652170323236368.0,0.03871176494885857
1652170323336378.0,0.03221736987812769
1652170323436440.0,0.03321373368517008
1652170323536510.0,0.030898336922967083
1652170323636628.0,0.02016869305164276
1652170323736691.0,0.01723062193564539
1652170323836814.0,0.02409818231433702
1652170323936934.0,0.014017838956429936
1652170324037048.0,0.009365758937640658
1652170324137116.0,0.012676473637293448
1652170324237178.0,0.013263124335083124
1652170324337241.0,0.009331443301283795
1652170324437252.0,0.009800237083884736
1652170324537261.0,0.010356265034023824
1652170324637270.0,0.0062196795850963
1652170324737279.0,0.005731078007397547
1652170324837233.0,0.009081282330687999
1652170324937185.0,0.00814077570331853
1652170325037136.0,0.006800919337224081
1652170325137092.0,0.0020900665738543267
1652170325237048.0,-0.004964408770802417
1652170325336950.0,-0.00491414493329423
1652170325436898.0,-0.0078060779077755585
1652170325536799.0,-0.014589963047921066
1652170325636695.0,-0.022574165142955745
1652170325736590.0,-0.02517653201106175
1652170325836547.0,-0.034608294108647575
1652170325936505.0,-0.05320956386199292
1652170326036459.0,-0.06751817828765776
1652170326136470.0,-0.06975599576161276
1652170326236534.0,-0.08398681199473146
1652170326336596.0,-0.09883222754850245
1652170326436659.0,-0.10135285639534493
1652170326536726.0,-0.10082729146953906
1652170326636845.0,-0.11241403424512482
1652170326736964.0,-0.12135588442012112
1652170326837085.0,-0.12011294344723994
1652170326937151.0,-0.11828567589813821
1652170327037211.0,-0.12073427883558494
1652170327137276.0,-0.13141663239511925
1652170327237339.0,-0.13634778146324558
1652170327337350.0,-0.13153217644144366
1652170327437358.0,-0.13200091838034578
1652170327537371.0,-0.13130894564926765
1652170327637328.0,-0.11703288424954142
1652170327737283.0,-0.1201419959492166
1652170327837181.0,-0.1170393328985078
1652170327937081.0,-0.10948925348761901
1652170328036980.0,-0.10229546790990413
1652170328136821.0,-0.07489061039735909
1652170328236607.0,-0.06617311385241091
1652170328336451.0,-0.06206870597099532
1652170328436180.0,-0.0457619855497061
1652170328535971.0,-0.03767891431441457
1652170328635755.0,-0.030008211093361842
1652170328735543.0,-0.01207218950260531
1652170328835332.0,0.0016271223357534374
1652170328935116.0,0.006082286216189954
1652170329034960.0,0.009277003868443667
1652170329134865.0,0.015011503128615395
1652170329234764.0,0.012271856459373934
1652170329334717.0,0.015584870735027023
1652170329434671.0,0.03033764708915571
1652170329534622.0,0.031936720187842146
1652170329634740.0,0.007570651585009363
1652170329734803.0,0.027598449968399587
1652170329834923.0,0.03575929401414097
1652170329935100.0,0.013389693532819914
1652170330035330.0,0.017698765692905682
1652170330135509.0,0.031341980161794805
1652170330235741.0,0.025145688249630826
1652170330335972.0,0.01936429033443708
1652170330436257.0,0.019960281612777072
1652170330536485.0,0.024380904483158976
1652170330636769.0,0.021233767641890514
1652170330737000.0,0.00891280352913395
1652170330837288.0,0.006164515683484309
1652170330937520.0,0.00044779612328956636
1652170331037804.0,-0.02514301369914572
1652170331138041.0,-0.061997850759458
1652170331238328.0,-0.08805977245740303
1652170331338618.0,-0.1189095342797353
1652170331438904.0,-0.15132850829319358
1652170331539193.0,-0.16143017308209753
1652170331639368.0,-0.17610468604791593
1652170331739544.0,-0.19103693904351313
1652170331839718.0,-0.206686762905042
1652170331939784.0,-0.21396240558587723
1652170332039790.0,-0.23904732889631777
1652170332139799.0,-0.2605937798202704
1652170332239753.0,-0.2676656945700641
1652170332339652.0,-0.27556020507730716
1652170332439439.0,-0.2805366717934068
1652170332539227.0,-0.2791228978044071
1652170332638957.0,-0.2840044392927218
1652170332738636.0,-0.2896687331201202
1652170332838313.0,-0.2898219270378339
1652170332937936.0,-0.26985132152210506
1652170333037498.0,-0.2531584899151966
1652170333137008.0,-0.22637666279230567
1652170333236462.0,-0.21266495979615058
1652170333335972.0,-0.2085201011016138
1652170333435426.0,-0.1820091879586735
1652170333534881.0,-0.155260800519475
1652170333634336.0,-0.12605928901530364
1652170333733792.0,-0.10183080720846055
1652170333833304.0,-0.08411713776063066
1652170333932870.0,-0.07359487945660137
1652170334032434.0,-0.05267338182148025
1652170334132111.0,-0.05417856442944253
1652170334231898.0,-0.045958059962407025
1652170334331689.0,-0.028910549951792947
1652170334431639.0,-0.01723135391468045
1652170334531594.0,-0.01968733414353227
1652170334631661.0,-0.009357644126780189
1652170334731838.0,-0.0016815910042514495
1652170334832074.0,-0.010438050715771596
1652170334932361.0,-0.009803078945882636
1652170335032757.0,-0.007084528213655179
1652170335133160.0,-0.014741498706379254
1652170335233724.0,-0.01507070995892985
1652170335334290.0,-0.013145740528218892
1652170335434911.0,-0.02665659345730799
1652170335535531.0,-0.02655845615936536
1652170335636210.0,-0.03578620876051582
1652170335736884.0,-0.055145704756804755
1652170335837559.0,-0.05428295127352554
1652170335938179.0,-0.04849912475795515
1652170336038745.0,-0.04232119978892996
1652170336139251.0,-0.038811872502687
1652170336239649.0,-0.03082393809092398
1652170336339990.0,-0.02033036002938071
1652170336440221.0,-0.018101609423406634
1652170336540338.0,-0.003583026880673323
1652170336640348.0,0.002839819058352015
1652170336740304.0,-0.017334787093051945
1652170336840201.0,-0.008785653270265266
1652170336940049.0,-0.0018839698888519852
1652170337039780.0,-0.008481703089340065
1652170337139456.0,-0.01668213925570174
