ts,x detection,y detection,x map,y map
1652170322636205.0,8.300737272163403,-2.763992257088396,2003.139513847178,1628.5063997287011
1652170322636205.0,12.768219192311943,6.231039174158536,1993.3261897511918,1628.330965976534
1652170322636205.0,-16.993979266756167,-4.262233069091582,2016.6615751192137,1606.9088638446801
1652170322736213.0,8.058951202108988,-2.4841820134657495,2003.139513847178,1628.5063997287011
1652170322736213.0,12.625247402690038,6.11317933048421,1993.3261897511918,1628.330965976534
1652170322736213.0,-17.19931842264844,-4.1727831163358164,2016.6615751192137,1606.9088638446801
1652170322836222.0,7.799371210869148,-2.647617134376331,2003.139513847178,1628.5063997287011
1652170322836222.0,12.565446216562393,6.06529295268485,1993.3261897511918,1628.330965976534
1652170322836222.0,-17.438427002616443,-3.8936333817548587,2016.6615751192137,1606.9088638446801
1652170322936231.0,7.841861906519298,-2.540721506242229,2003.139513847178,1628.5063997287011
1652170322936231.0,12.43368935606022,5.981776818200069,1993.3261897511918,1628.330965976534
1652170322936231.0,-17.6001914738442,-4.165733062398479,2016.6615751192137,1606.9088638446801
1652170323036292.0,7.526086753925317,-2.5821781055812854,2003.139513847178,1628.5063997287011
1652170323036292.0,12.084604605813398,6.105661398756147,1993.3261897511918,1628.330965976534
1652170323036292.0,-17.894487856350718,-4.114949854678421,2016.6615751192137,1606.9088638446801
1652170323136302.0,7.259297606307453,-2.751563608593137,2003.139513847178,1628.5063997287011
1652170323136302.0,11.948813791311492,6.010812359482308,1993.3261897511918,1628.330965976534
1652170323136302.0,-18.141848875200044,-4.020171259091814,2016.6615751192137,1606.9088638446801
1652170323236368.0,6.955115933888644,-2.548441135105732,2003.139513847178,1628.5063997287011
1652170323236368.0,11.612779052382528,5.9491156283892375,1993.3261897511918,1628.330965976534
1652170323236368.0,-18.538451629420155,-3.7950155399416756,2016.6615751192137,1606.9088638446801
1652170323336378.0,6.724808821565986,-2.6383422598815076,2003.139513847178,1628.5063997287011
1652170323336378.0,11.317848950290792,5.8837149966533895,1993.3261897511918,1628.330965976534
1652170323336378.0,-18.625064209939957,-3.614118529032799,2016.6615751192137,1606.9088638446801
1652170323436440.0,6.595702529156714,-2.7542069095902195,2003.139513847178,1628.5063997287011
1652170323436440.0,11.292562068421793,5.905350515518063,1993.3261897511918,1628.330965976534
1652170323436440.0,-18.72828760773355,-3.6436412121692654,2016.6615751192137,1606.9088638446801
1652170323536510.0,6.258755908074168,-2.7957640025498254,2003.139513847178,1628.5063997287011
