ts,x,y,heading
1652170322636205.0,2004.823291911228,1619.8092869053262,2.076206867483083
1652170322736213.0,2004.7610331052454,1620.2348521471301,2.058633941428691
1652170322836222.0,2004.5064686119138,1620.316270595031,2.0483255172006736
1652170322936231.0,2004.4889003310252,1620.0225962175073,2.081982425005986
1652170323036292.0,2004.4645503907245,1620.826866336011,2.073616874744693
1652170323136302.0,2004.6650585732987,1620.8216707021352,2.0727517005526557
1652170323236368.0,2004.2938925844558,1621.1411994907758,2.086738196976396
1652170323336378.0,2004.3082405460302,1621.0604954568041,2.1071316809225173
1652170323436440.0,2004.1025928565869,1621.376000158441,2.0948394485870505
1652170323536510.0,2003.8577485874844,1621.7856599539134,2.0902930030027713
1652170323636628.0,2003.8489368234812,1621.9575261697546,2.093665462913892
1652170323736691.0,2003.5393415773372,1622.023200238245,2.111808064417414
1652170323836814.0,2003.456906837175,1622.3480902107622,2.098596705327588
1652170323936934.0,2003.2643226860698,1622.632681276204,2.093254864144141
1652170324037048.0,2003.2755600805258,1623.028795435408,2.093071103131804
1652170324137116.0,2003.1178067356382,1623.381444960273,2.1152220021668566
1652170324237178.0,2002.6902487440725,1623.551754910862,2.10878263789122
1652170324337241.0,2002.4964666886774,1623.734172521103,2.112461118753855
1652170324437252.0,2002.4940730328901,1624.0044597479173,2.0887347976756443
1652170324537261.0,2002.3121507033648,1624.404889057755,2.109910939858735
1652170324637270.0,2002.1725076520333,1624.632985545759,2.114832062216502
1652170324737279.0,2002.039852174842,1625.070959184082,2.116186874400563
1652170324837233.0,2002.262060699835,1625.4230229823852,2.099724143843188
1652170324937185.0,2001.6880142129994,1625.0856880681854,2.110350285587286
1652170325037136.0,2001.5569111696184,1626.2285200074907,2.117936698269102
1652170325137092.0,2001.2736627339214,1626.4885959351886,2.124789951348513
1652170325237048.0,2001.2575259603016,1626.8988571980567,2.12517879408229
1652170325336950.0,2000.949256469632,1627.3719156599448,2.109960940629188
1652170325436898.0,2000.6026657095324,1627.1620885363557,2.121850071921708
1652170325536799.0,2000.2636863787502,1627.8356356437505,2.1040444104151756
1652170325636695.0,2000.0272870263107,1627.911439979489,2.1226640744351246
1652170325736590.0,2000.121700529929,1628.582290218753,2.1099705488385685
1652170325836547.0,2000.0028747484864,1629.099706893931,2.0856486770877933
1652170325936505.0,2000.1356885488988,1629.1455208622651,2.0884617287109495
1652170326036459.0,1999.5633154846578,1629.7893439744462,2.0901633030755304
1652170326136470.0,1999.1561182324856,1630.3171320033057,2.0915152907109946
1652170326236534.0,1999.0053950323224,1630.7660771036183,2.082426927985693
1652170326336596.0,1998.8772238430247,1630.5779978095059,2.0508949252117463
1652170326436659.0,1998.7399607266675,1631.6513596202217,2.0760908016892308
1652170326536726.0,1998.2725178595829,1631.6262124557275,2.028300484399211
1652170326636845.0,1998.2700300149727,1632.4082112069557,2.0313998616030027
1652170326736964.0,1997.647629768099,1633.0047615090698,2.026985591925233
1652170326837085.0,1997.8440138088524,1633.404406277442,2.0052995668752387
1652170326937151.0,1997.5333301018613,1633.3791215206675,2.008278241852658
1652170327037211.0,1997.0733674501118,1634.5386538067025,1.9819254803928974
1652170327137276.0,1997.0221332835963,1634.6154823990578,1.9685056512507264
1652170327237339.0,1997.0410515809529,1635.2032787446308,1.9738216454030493
1652170327337350.0,1996.8551682861173,1635.2003389320225,1.9308705908870538
1652170327437358.0,1996.2058036453811,1636.333334658839,1.919177900627217
1652170327537371.0,1996.4114513672073,1636.5158555607954,1.9252938742830135
1652170327637328.0,1996.1417010910513,1636.9323468141415,1.9060854463699222
1652170327737283.0,1995.88503606497,1637.6502042179648,1.9005997923281002
1652170327837181.0,1995.814591956923,1637.8527896601813,1.8806969560706974
1652170327937081.0,1995.812907943723,1638.7243504479968,1.8715114410020706
1652170328036980.0,1995.910070762101,1639.2655210974349,1.8675436421764666
1652170328136821.0,1995.3648568469941,1639.3166039760522,1.861376247384793
1652170328236607.0,1995.1925014313604,1640.192270619361,1.8556734181121044
1652170328336451.0,1995.2695587334072,1640.4676237168555,1.8430198014299906
1652170328436180.0,1994.6150550836512,1641.3726716035696,1.829939493246376
1652170328535971.0,1995.0826891147944,1641.3995791322911,1.839404042792238
1652170328635755.0,1994.9432526368075,1642.2861892577096,1.8153180263757045
1652170328735543.0,1994.7663304653536,1642.9110026768105,1.8353703760724447
1652170328835332.0,1994.5751250120688,1643.1322815431793,1.8282732259920138
1652170328935116.0,1994.3240696141759,1643.8313775250817,1.817393785549745
1652170329034960.0,1994.4744391079723,1644.444818925207,1.837433134854463
1652170329134865.0,1994.1480341979438,1644.682696739966,1.8345691625221163
1652170329234764.0,1993.8782794934539,1645.3998827456937,1.8293182108164325
1652170329334717.0,1994.0007735755053,1645.8951410566733,1.8183225108866856
1652170329434671.0,1993.2244915336016,1646.6911170081155,1.8419401011051613
1652170329534622.0,1993.4121490273562,1646.9083227097549,1.8376960394677873
1652170329634740.0,1993.4192698602303,1647.633844738982,1.84253449120669
1652170329734803.0,1993.4065478887344,1648.4527524643543,1.84714936275246
1652170329834923.0,1993.0206616256203,1649.0289597084618,1.8480773636394985
1652170329935100.0,1992.6874808427365,1649.4896567323653,1.8349529676673915
1652170330035330.0,1992.824213310846,1649.5287065020161,1.8468325849921932
1652170330135509.0,1992.536522711741,1650.3283391318892,1.863273299180712
1652170330235741.0,1992.3273614292725,1650.8510587685678,1.8574536667006147
1652170330335972.0,1992.220220912135,1651.6422011527068,1.840380629462579
1652170330436257.0,1992.3960698948267,1652.1358818528008,1.8597125536082044
1652170330536485.0,1992.1513841874641,1652.2820354182486,1.8631058846300612
1652170330636769.0,1991.8482168473802,1652.6474982717803,1.8474381527029553
1652170330737000.0,1991.5334263342127,1653.6373356482582,1.85563753200871
1652170330837288.0,1991.9353742212454,1653.8249092829028,1.877244455019326
1652170330937520.0,1991.3082604226327,1654.531245321736,1.8710650106473967
1652170331037804.0,1991.2365078285995,1655.4071841433915,1.873517048057364
1652170331138041.0,1991.1798575690177,1655.4460086243241,1.8569107677112149
1652170331238328.0,1991.0440194881103,1656.3929107962128,1.8518219101753735
1652170331338618.0,1990.9829586501103,1656.2941229759729,1.8347878577058687
1652170331438904.0,1990.8956015834779,1657.0481107488206,1.799450498146924
1652170331539193.0,1990.589661175016,1657.4742763134086,1.8091063214635381
1652170331639368.0,1990.6668704360964,1658.4342027940365,1.801257045483497
1652170331739544.0,1990.7982088341387,1658.6025733885567,1.7731422958092413
1652170331839718.0,1990.3916975474472,1658.9695673305707,1.7611966827296706
1652170331939784.0,1990.5359530972441,1659.2195037369481,1.7331522773764256
1652170332039790.0,1990.7340584028664,1659.864549078708,1.7035350917463516
1652170332139799.0,1990.3148640301763,1660.4610927625693,1.689884292493025
1652170332239753.0,1990.0786240337513,1660.6453411032853,1.6602387343603955
1652170332339652.0,1990.2231936159285,1661.3356937682665,1.6436965902894412
1652170332439439.0,1990.3460117619675,1661.4938327772875,1.5990802644328108
1652170332539227.0,1990.0120054900833,1662.2032794410318,1.5855106926371996
1652170332638957.0,1990.0648184918177,1662.7438767758358,1.5406471172988192
1652170332738636.0,1990.0399739415943,1663.1296745908853,1.5111790445358488
1652170332838313.0,1990.4111166559976,1663.451947573967,1.5041540697417142
1652170332937936.0,1990.2087735961495,1663.8988965875717,1.486262356542852
1652170333037498.0,1990.030810909699,1664.0989524275874,1.4285675662285835
1652170333137008.0,1990.000585771658,1665.0811441342328,1.3945813292908158
1652170333236462.0,1990.3679249262814,1665.3383572185817,1.3994479902869559
1652170333335972.0,1990.5098399348208,1665.933442709422,1.3670879020151165
1652170333435426.0,1991.0088830356196,1666.15185565158,1.3416247893018531
1652170333534881.0,1991.2955169927864,1666.8291659657862,1.3370608197134268
1652170333634336.0,1991.1250119950926,1667.1270705251025,1.3217407355719208
1652170333733792.0,1991.3540372310063,1668.0497517868596,1.329653178433309
1652170333833304.0,1991.2257219322314,1668.1974763726885,1.312615950467735
1652170333932870.0,1991.5943934232068,1668.7106830477644,1.3036101288289954
1652170334032434.0,1991.4546816782129,1669.2014860834872,1.2690465540768223
1652170334132111.0,1991.542909098779,1669.681107992074,1.2954450719978743
1652170334231898.0,1991.9555772158856,1670.0053153801814,1.2903164636866182
1652170334331689.0,1991.8890479795136,1670.4505250183518,1.2839668410549132
