ts,longitudinal speed
1652170322636205.0,1.7643029697572106
1652170322736213.0,1.870941914576079
1652170322836222.0,1.970232756027886
1652170322936231.0,2.0720575057118604
1652170323036292.0,2.17428499966927
1652170323136302.0,2.276576100208307
1652170323236368.0,2.3682916782857806
1652170323336378.0,2.467692037700596
1652170323436440.0,2.5622971807325112
1652170323536510.0,2.6548830897562956
1652170323636628.0,2.749310818318716
1652170323736691.0,2.8396444582245333
1652170323836814.0,2.92539615948823
1652170323936934.0,3.012372364775755
1652170324037048.0,3.0978394801828957
1652170324137116.0,3.1822942259957143
1652170324237178.0,3.2609013587286864
1652170324337241.0,3.345618969345703
1652170324437252.0,3.4346173344987703
1652170324537261.0,3.5151250065117443
1652170324637270.0,3.5950223497211007
1652170324737279.0,3.6747749472142757
1652170324837233.0,3.7541162705852718
1652170324937185.0,3.8303581048253044
1652170325037136.0,3.9031316687540696
1652170325137092.0,3.978784790780792
1652170325237048.0,4.0529745839671625
1652170325336950.0,4.124401207107307
1652170325436898.0,4.1939077345505025
1652170325536799.0,4.264150010914465
1652170325636695.0,4.333632881736336
1652170325736590.0,4.4012984944546405
1652170325836547.0,4.466939013875428
1652170325936505.0,4.526242856671984
1652170326036459.0,4.587241217774796
1652170326136470.0,4.651072267223103
1652170326236534.0,4.7094249029065764
1652170326336596.0,4.770009480715972
1652170326436659.0,4.816729280752
1652170326536726.0,4.873684365118271
1652170326636845.0,4.908247099123243
1652170326736964.0,4.953738251117019
1652170326837085.0,4.99651771139283
1652170326937151.0,5.033959919274646
1652170327037211.0,5.077458578211709
1652170327137276.0,5.102218052311877
1652170327237339.0,5.134537668792861
1652170327337350.0,5.165474915521558
1652170327437358.0,5.191708753056768
1652170327537371.0,5.227190600428814
1652170327637328.0,5.252699876475969
1652170327737283.0,5.281658327097459
1652170327837181.0,5.312232395601423
1652170327937081.0,5.342655222115684
1652170328036980.0,5.373586804427715
1652170328136821.0,5.4036287513805785
1652170328236607.0,5.432438389620999
1652170328336451.0,5.464936388385439
1652170328436180.0,5.49039212316107
1652170328535971.0,5.520256090529931
1652170328635755.0,5.549254120951766
1652170328735543.0,5.576774497680437
1652170328835332.0,5.611063605371942
1652170328935116.0,5.632863592986309
1652170329034960.0,5.651340083693532
1652170329134865.0,5.667535701737158
1652170329234764.0,5.665894375233881
1652170329334717.0,5.664018164588986
1652170329434671.0,5.655204219244624
1652170329534622.0,5.632846257773711
1652170329634740.0,5.61045039717538
1652170329734803.0,5.582289698076416
1652170329834923.0,5.56515361831759
1652170329935100.0,5.549606760171338
1652170330035330.0,5.5184285475946995
1652170330135509.0,5.487277877460481
1652170330235741.0,5.453216423249125
1652170330335972.0,5.4343423643459605
1652170330436257.0,5.40125639583817
1652170330536485.0,5.366967312565034
1652170330636769.0,5.336936325324162
1652170330737000.0,5.305742191010681
1652170330837288.0,5.274585217873963
1652170330937520.0,5.240712627149904
1652170331037804.0,5.204921159590791
1652170331138041.0,5.1665816194581256
1652170331238328.0,5.132155861701088
1652170331338618.0,5.074511876945653
1652170331438904.0,5.049946483266103
1652170331539193.0,5.00529043108695
1652170331639368.0,4.964096639376486
1652170331739544.0,4.921884919406628
1652170331839718.0,4.870194457128317
1652170331939784.0,4.833539978755001
1652170332039790.0,4.782254426407063
1652170332139799.0,4.738634419355565
1652170332239753.0,4.713151716286484
1652170332339652.0,4.703925648281738
1652170332439439.0,4.6936267980618265
1652170332539227.0,4.675626307239373
1652170332638957.0,4.65858977651396
1652170332738636.0,4.650044081376231
1652170332838313.0,4.657989584807969
1652170332937936.0,4.65838685074718
1652170333037498.0,4.662823284895186
1652170333137008.0,4.669808612964564
1652170333236462.0,4.6810123359916105
1652170333335972.0,4.709005660631621
1652170333435426.0,4.732112327270809
1652170333534881.0,4.763964575517912
1652170333634336.0,4.789907076626423
1652170333733792.0,4.802945953094963
1652170333833304.0,4.823773361011786
1652170333932870.0,4.836338223471785
1652170334032434.0,4.849633023581337
1652170334132111.0,4.868213590906546
1652170334231898.0,4.893336433670389
1652170334331689.0,4.907391958780466
1652170334431639.0,4.923036413966458
1652170334531594.0,4.943673208862887
1652170334631661.0,4.9699945811086526
1652170334731838.0,5.003419402615484
1652170334832074.0,5.044529843465236
1652170334932361.0,5.083128515312431
1652170335032757.0,5.130792589764626
1652170335133160.0,5.183374843575618
1652170335233724.0,5.238889094816538
1652170335334290.0,5.30126633896665
1652170335434911.0,5.344256605604227
1652170335535531.0,5.401229682865923
1652170335636210.0,5.459450944883407
1652170335736884.0,5.509430077328266
1652170335837559.0,5.564039927132534
1652170335938179.0,5.604005297073182
1652170336038745.0,5.65142515831347
1652170336139251.0,5.698753455733228
1652170336239649.0,5.744029924251418
1652170336339990.0,5.764262387218063
1652170336440221.0,5.7851956662875
1652170336540338.0,5.783517488211125
1652170336640348.0,5.766718718432113
1652170336740304.0,5.72040863554476
1652170336840201.0,5.6919020908984725
1652170336940049.0,5.644956430007846
1652170337039780.0,5.588084824903831
1652170337139456.0,5.5325802461650095
1652170337239130.0,5.473358986877249
1652170337338752.0,5.405212241493084
1652170337438372.0,5.361814836835921
1652170337538045.0,5.322093301274804
1652170337637612.0,5.2869472919147436
1652170337737229.0,5.254085566792396
1652170337836904.0,5.21359867872115
1652170337936578.0,5.1830644893047495
1652170338036255.0,5.156908606607534
1652170338135988.0,5.1421929093830165
1652170338235719.0,5.134399403616377
1652170338335561.0,5.118406560306315
1652170338435409.0,5.110407211518689
1652170338535306.0,5.104824890716911
1652170338635201.0,5.100540914286932
1652170338735156.0,5.103218314520655
1652170338835170.0,5.1064318997105165
1652170338935118.0,5.106933157355854
1652170339035127.0,5.1060064357163855
1652170339135134.0,5.103811042876312
1652170339235200.0,5.104516767879548
1652170339335259.0,5.11381302723778
1652170339435325.0,5.12333937710722
1652170339535444.0,5.134913713458596
1652170339635565.0,5.15228176514084
1652170339735683.0,5.177736827878379
1652170339835861.0,5.205870084315436
1652170339936033.0,5.231847916293454
1652170340036154.0,5.259456042977952
1652170340136275.0,5.288831155348438
1652170340236451.0,5.32029538373335
1652170340336572.0,5.352565089256343
1652170340436635.0,5.384495842159444
1652170340536758.0,5.412834842335797
1652170340636822.0,5.441940924275736
1652170340736941.0,5.473948224340244
1652170340837007.0,5.510501189731626
1652170340937069.0,5.53859006023174
1652170341037077.0,5.568579945673911
1652170341137087.0,5.599920930011905
1652170341237100.0,5.6288551301471745
1652170341337053.0,5.6542473813339695
1652170341437002.0,5.683862084509373
1652170341536955.0,5.710114762360345
1652170341636910.0,5.716038537485949
1652170341736811.0,5.702910175537973
1652170341836704.0,5.685134499319791
1652170341936607.0,5.664108758394908
1652170342036505.0,5.629272077991619
1652170342136407.0,5.59948891396498
1652170342236307.0,5.5710539043231755
1652170342336200.0,5.562121159719825
1652170342436151.0,5.557644427016307
1652170342536106.0,5.554807994001174
1652170342636059.0,5.553648312531595
1652170342736065.0,5.556133724686189
1652170342836015.0,5.563535656979738
1652170342936027.0,5.570902178433462
1652170343036090.0,5.580347104603973
1652170343136099.0,5.593519158186565
1652170343236164.0,5.604794313887315
1652170343336222.0,5.618550335151621
1652170343436230.0,5.638697384309757
1652170343536296.0,5.650021967654072
1652170343636416.0,5.653313017414394
1652170343736480.0,5.6590267929424725
1652170343836543.0,5.6380071369624964
1652170343936605.0,5.631399884997848
1652170344036726.0,5.609753909825718
1652170344136786.0,5.586656017114975
1652170344236907.0,5.559312542828611
1652170344337027.0,5.523605466382048
1652170344437096.0,5.4909338352733705
1652170344537220.0,5.455774238983012
1652170344637284.0,5.425675423888459
1652170344737350.0,5.387141308384439
1652170344837413.0,5.351971913298173
1652170344937425.0,5.314155422754022
1652170345037437.0,5.2776501209832665
1652170345137444.0,5.242711389734417
1652170345237451.0,5.20735067265841
1652170345337405.0,5.1675047907550775
1652170345437359.0,5.128232934512137
1652170345537309.0,5.089959680937773
1652170345637264.0,5.0536060149763475
1652170345737160.0,5.014741917494023
1652170345837108.0,4.974127618266082
1652170345937008.0,4.935687789933423
1652170346036903.0,4.899003616076772
1652170346136749.0,4.862301130609821
1652170346236651.0,4.827129781978477
1652170346336605.0,4.788511634091102
1652170346436506.0,4.753894535043819
1652170346536464.0,4.717608528336308
1652170346636362.0,4.680711454614524
1652170346736317.0,4.647175132596917
1652170346836271.0,4.611234547845828
1652170346936229.0,4.575977879200385
1652170347036188.0,4.541061422938476
