x,y
587.5548969225414,-1002.1869794492927
581.2725662805002,-1011.4554860094934
579.5657734681344,-997.9379002890446
571.7817014985937,-1005.2299346390771
573.5158521694539,-1006.5411643963464
571.6300151823415,-1012.5745897172949
571.2330005353799,-1015.9128186343178
572.7764800722877,-1016.793709982292
574.397375618029,-1017.4563779887235
574.94401346225,-1017.3088926421178
584.4760412088747,-1016.3690365475927
585.2074771389395,-1025.773680978701
580.8001798327264,-1026.1519587815656
576.37187482488,-1027.224628228621
573.4210251995054,-1030.292670990264
558.3790010167709,-1044.6810989535663
544.511075761546,-1049.4907489500577
537.5930293428473,-1042.5591953318512
536.9927307682154,-1042.092785103987
545.7306276950561,-1028.5054280667905
549.6003235874427,-1029.4560445105344
560.549985865508,-1003.1328788612929
559.4888507018858,-1000.5155711741211
560.3047794064157,-997.8993214706019
575.4765415012573,-977.8311703741101
546.7260523861338,-969.6913715373604
546.5004343617131,-971.7600541212328
543.085878319941,-971.6372635260648
535.3772400767102,-971.1950435999934
534.9663893936237,-970.4731676992942
533.6126940965237,-982.4964876725074
528.0621261348623,-963.5053472321749
522.45640719129,-984.120710310254
522.9323573016347,-988.1655665678857
545.964678502166,-962.5329561297997
486.87399926646856,-982.1046296130401
499.5465932787582,-997.6443183086003
500.6780085057889,-999.252369951101
501.35695860531,-1001.0695942361831
500.5322894787235,-1006.028146607114
512.1011098299381,-1010.1481260654988
499.8438689414456,-1006.630044549034
493.7215947979156,-1015.1750083712641
474.7751845471706,-1014.3041574793369
515.0027571201922,-1020.7129260144186
497.97942783277375,-1035.754681736058
526.296426895939,-1042.9357147445185
527.145387847431,-1041.8123490626576
530.3310279261938,-1041.971760093897
440.6748451726506,-1005.7893899457367
411.26029448002816,-1024.121544299781
382.8527757077735,-1045.054344959482
374.95293347259013,-1064.5052909032133
373.5361836612895,-1067.59631867992
351.4787832410643,-1062.7489603382792
328.3580157439617,-1083.687325867042
272.8355096376854,-1097.6369861450132
81.17521504285565,-1096.7892957576678
48.7128069375209,-1063.6209748905203
-34.97178861658058,-1063.6827707429784
-36.94747831450303,-1034.2034743416316
-160.36102453130871,-943.6103288304405
-184.33926085133132,-904.758797972958
